משפט,התחלה,סיום,משך,ממוצע אחוז ניבוי,דובר,מילים בעייתיות
"בוקר, כן.",00:00,00:01,1.48,4.05,SPEAKER_00,[]
"אני לפני שבוע עשיתי דרך האתר שינוי משלם, ורציתי לדעת מה הסטטוס של זה, כי אמרו ארבעה ימים ולא קיבלתי שום תקוץ.",00:01,00:16,14.51,3.29,SPEAKER_01,"['הסטטוס', 'כי']"
"אוקיי, בשמחה.",00:18,00:19,0.86,10.1,SPEAKER_00,[]
אני רואה ששלחת... יש לי את ה-3044293?,00:19,00:21,2.24,10.91,SPEAKER_00,[]
נכון.,00:21,00:22,0.18,7.2,SPEAKER_01,[]
"כן, אז אני רואה שהגשת את הפנייה ברביל 11, היא עדיין בסטטוס חדש, עדיין לא טופלה.",00:27,00:33,5.2,17.04,SPEAKER_00,[]
"אני רק רוצה לעבור רגע על הפנייה בפני שהכל פה... שוקט לי חובר לכם, אז אני רוצה כבר לסגור את זה, וזה תמיד יהיה מורכב.",00:33,00:41,7.35,7.73,SPEAKER_00,[]
מה השם שלך?,00:45,00:45,0.72,26.0,SPEAKER_00,[]
גדי אורן.,00:46,00:47,0.66,14.2,SPEAKER_01,[]
"הוא גדי אורן, לא יודע איך מופיע לך, שנייה רגע.",00:50,00:56,5.72,1.75,SPEAKER_01,[]
אוקיי.,00:56,00:57,0.77,13.4,SPEAKER_00,[]
